symbol,avg_turnover_30d
PSPPROJECT,769730435.8521738
PAGEIND,769051660.2173913
GARUDA,767251499.3291304
SWANCORP,767157554.5260869
JYOTICNC,761504117.2434782
JKCEMENT,761244449.4782609
ZYDUSLIFE,760900347.6130434
COHANCE,760579845.35
PARAGMILK,756338027.7521739
POONAWALLA,754152680.4586958
BORORENEW,753436292.0152173
BLUESTONE,748544558.8978262
HDBFS,745243519.2108698
EXIDEIND,743269261.4673913
TIINDIA,739414380.395652
CONCOR,738353493.1999999
CANHLIFE,736755512.6321052
LIQUIDADD,727929894.7078261
NCC,727172465.8091304
MAPMYINDIA,725161249.7652173
PATANJALI,724338410.8282608
EDELWEISS,718859845.5226086
STUDDS,717091246.0416665
RRKABEL,717054459.7608695
KEC,707973449.1652174
SHAILY,707562343.4913044
ZEEL,707488398.2352173
LICHSGFIN,700610523.8913044
TITAGARH,699306246.8043479
MOSCHIP,698397103.9217392
PRICOLLTD,692954446.8565217
JAYNECOIND,687713721.2886957
VINCOFE,687287667.2826086
SHAREINDIA,678761093.6395651
UJJIVANSFB,677791529.9330435
VIKRAMSOLR,677341297.9391305
VIKRAN,668293180.4734782
SHREECEM,667865342.826087
JMFINANCIL,666642824.0356523
INOXGREEN,664134105.2113044
SWSOLAR,662464565.2434784
PARAS,661802783.5086956
3MINDIA,660893126.0869565
PGIL,655824376.1565218
PPLPHARMA,654536092.8578261
TRANSRAILL,651631079.7326088
KARURVYSYA,646723625.3765217
GPPL,640180924.6926086
YATRA,634079349.9469565
ZENTEC,631771391.7086955
MBEL,630351264.7891304
AVANTEL,628619188.516087
DALBHARAT,625061408.5869565
ATGL,624562012.3152174
TEJASNET,613872873.1565217
GOKEX,609945758.7826087
FSL,603881046.7326087
WEBELSOLAR,603640044.6956521
CYIENT,599063601.8130435
IKS,586990094.6130435
PCJEWELLER,585978454.606087
APOLLOTYRE,585614997.1021739
INTERARCH,585545160.9695652
HSCL,582831770.5369565
CGCL,581728951.317826
TATVA,578820683.5434784
DREDGECORP,566476721.8456522
GREAVESCOT,565236119.167826
ITCHOTELS,563309006.1478261
OLECTRA,562434095.2086957
MIDWESTLTD,558969973.6466666
PACEDIGITK,545036575.1326085
POLYMED,538945024.6086956
CESC,537972478.9669566
AARTIIND,527282655.2195652
PREMEXPLN,518728000.3
